Ka           t0         t1         t2         t3         t4         t5
0010 -1.800e-03 -1.098e+00 -1.608e+00 -1.801e+00 -2.009e+00 -2.080e+00
0020 +5.723e-01 -5.038e-01 -1.025e+00 -1.275e+00 -1.454e+00 -1.563e+00
0030 +1.041e+00 -1.053e-01 -6.072e-01 -8.598e-01 -1.020e+00 -1.152e+00
0040 +1.386e+00 +2.477e-01 -2.517e-01 -5.133e-01 -6.727e-01 -7.897e-01
0050 +1.735e+00 +5.752e-01 +8.895e-02 -1.875e-01 -3.586e-01 -4.722e-01
0060 +2.024e+00 +8.490e-01 +3.692e-01 +7.916e-02 -8.148e-02 -1.875e-01
0070 +2.304e+00 +1.132e+00 +6.502e-01 +3.621e-01 +1.948e-01 +7.606e-02
0080 +2.582e+00 +1.402e+00 +9.175e-01 +6.296e-01 +4.648e-01 +3.557e-01
0090 +2.798e+00 +1.637e+00 +1.158e+00 +8.977e-01 +7.082e-01 +6.010e-01
0100 +3.019e+00 +1.896e+00 +1.400e+00 +1.134e+00 +9.534e-01 +8.539e-01
0110 +3.293e+00 +2.128e+00 +1.655e+00 +1.376e+00 +1.211e+00 +1.090e+00
0120 +3.518e+00 +2.362e+00 +1.882e+00 +1.615e+00 +1.454e+00 +1.349e+00
0130 +3.734e+00 +2.576e+00 +2.103e+00 +1.863e+00 +1.681e+00 +1.571e+00
0140 +3.972e+00 +2.800e+00 +2.350e+00 +2.095e+00 +1.919e+00 +1.823e+00
0150 +4.194e+00 +3.037e+00 +2.576e+00 +2.324e+00 +2.149e+00 +2.059e+00
0160 +4.434e+00 +3.269e+00 +2.812e+00 +2.543e+00 +2.402e+00 +2.294e+00
0170 +4.657e+00 +3.487e+00 +3.034e+00 +2.791e+00 +2.629e+00 +2.542e+00
0180 +4.852e+00 +3.732e+00 +3.267e+00 +3.031e+00 +2.886e+00 +2.784e+00
0190 +5.090e+00 +3.970e+00 +3.517e+00 +3.272e+00 +3.130e+00 +3.040e+00
0200 +5.325e+00 +4.204e+00 +3.749e+00 +3.515e+00 +3.388e+00 +3.289e+00
0210 +5.561e+00 +4.426e+00 +3.994e+00 +3.757e+00 +3.634e+00 +3.549e+00
0220 +5.799e+00 +4.675e+00 +4.251e+00 +4.010e+00 +3.892e+00 +3.818e+00
0230 +6.056e+00 +4.921e+00 +4.501e+00 +4.276e+00 +4.160e+00 +4.093e+00
0240 +6.275e+00 +5.181e+00 +4.773e+00 +4.552e+00 +4.432e+00 +4.367e+00
0250 +6.528e+00 +5.438e+00 +5.025e+00 +4.826e+00 +4.726e+00 +4.688e+00
0260 +6.772e+00 +5.706e+00 +5.307e+00 +5.100e+00 +5.032e+00 +4.992e+00
0270 +7.039e+00 +5.979e+00 +5.581e+00 +5.405e+00 +5.338e+00 +5.307e+00
0280 +7.325e+00 +6.237e+00 +5.871e+00 +5.721e+00 +5.657e+00 +5.638e+00
0290 +7.604e+00 +6.551e+00 +6.186e+00 +6.050e+00 +6.000e+00 +6.030e+00
0300 +7.876e+00 +6.867e+00 +6.512e+00 +6.391e+00 +6.349e+00 +6.405e+00
0310 +8.214e+00 +7.192e+00 +6.861e+00 +6.744e+00 +6.765e+00 +6.820e+00
0320 +8.506e+00 +7.510e+00 +7.236e+00 +7.139e+00 +7.201e+00 +7.303e+00
0330 +8.837e+00 +7.879e+00 +7.620e+00 +7.599e+00 +7.670e+00 +7.799e+00
0340 +9.244e+00 +8.291e+00 +8.053e+00 +8.085e+00 +8.183e+00 +8.444e+00
0350 +9.608e+00 +8.691e+00 +8.548e+00 +8.621e+00 +8.803e+00 +9.157e+00
0360 +1.003e+01 +9.170e+00 +9.077e+00 +9.243e+00 +9.622e+00 +1.010e+01
0370 +1.052e+01 +9.677e+00 +9.705e+00 +9.998e+00 +1.056e+01 +1.151e+01
0375 +1.075e+01 +1.002e+01 +1.010e+01 +1.049e+01 +1.122e+01 +1.274e+01
0380 +1.098e+01 +1.032e+01 +1.047e+01 +1.110e+01 +1.216e+01 +3.277e+01
0385 +1.130e+01 +1.070e+01 +1.094e+01 +1.181e+01 +1.381e+01 +3.277e+01
0390 +1.162e+01 +1.111e+01 +1.155e+01 +1.290e+01 +3.277e+01 +3.277e+01
0395 +1.197e+01 +1.157e+01 +1.230e+01 +1.562e+01 +3.277e+01 +3.277e+01
0400 +1.234e+01 +1.213e+01 +1.343e+01 +3.277e+01 +3.277e+01 +3.277e+01
0405 +1.278e+01 +1.285e+01 +1.857e+01 +3.277e+01 +3.277e+01 +3.277e+01
0410 +1.343e+01 +1.402e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01
0415 +1.425e+01 +1.952e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01
0420 +1.557e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01
0425 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01
0430 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01
0435 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01
0440 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01
