Ka           t0         t1         t2         t3         t4         t5
0010 +3.329e+00 +2.815e+00 +2.679e+00 +2.676e+00 +2.713e+00 +2.821e+00
0030 +3.664e+00 +3.281e+00 +3.109e+00 +3.098e+00 +3.177e+00 +3.269e+00
0050 +4.015e+00 +3.535e+00 +3.458e+00 +3.448e+00 +3.512e+00 +3.643e+00
0070 +4.372e+00 +3.774e+00 +3.710e+00 +3.805e+00 +3.868e+00 +3.968e+00
0090 +4.417e+00 +4.051e+00 +3.983e+00 +4.030e+00 +4.188e+00 +4.382e+00
0110 +4.614e+00 +4.219e+00 +4.198e+00 +4.416e+00 +4.518e+00 +4.688e+00
0130 +4.827e+00 +4.393e+00 +4.539e+00 +4.630e+00 +4.836e+00 +5.134e+00
0150 +4.880e+00 +4.728e+00 +4.739e+00 +4.946e+00 +5.326e+00 +5.560e+00
0170 +5.066e+00 +4.878e+00 +5.031e+00 +5.419e+00 +5.682e+00 +6.025e+00
0190 +5.323e+00 +5.094e+00 +5.497e+00 +6.154e+00 +6.169e+00 +6.720e+00
0210 +5.427e+00 +5.545e+00 +5.812e+00 +6.227e+00 +6.970e+00 +7.439e+00
0220 +5.499e+00 +5.728e+00 +6.007e+00 +6.560e+00 +7.265e+00 +7.819e+00
0230 +5.587e+00 +5.877e+00 +6.237e+00 +7.045e+00 +7.607e+00 +8.272e+00
0240 +5.731e+00 +6.032e+00 +6.517e+00 +7.379e+00 +8.002e+00 +8.850e+00
0250 +5.968e+00 +6.216e+00 +6.929e+00 +7.724e+00 +8.478e+00 +9.601e+00
0260 +6.290e+00 +6.435e+00 +7.472e+00 +8.124e+00 +9.057e+00 +1.074e+01
0270 +6.429e+00 +6.717e+00 +7.779e+00 +8.567e+00 +9.900e+00 +1.189e+01
0280 +6.582e+00 +7.099e+00 +8.164e+00 +9.148e+00 +1.118e+01 +1.323e+01
0285 +6.673e+00 +7.377e+00 +8.366e+00 +9.508e+00 +1.191e+01 +1.414e+01
0290 +6.770e+00 +7.765e+00 +8.617e+00 +9.926e+00 +1.244e+01 +1.530e+01
0295 +6.867e+00 +8.022e+00 +8.866e+00 +1.046e+01 +1.316e+01 +1.702e+01
0300 +6.985e+00 +8.202e+00 +9.131e+00 +1.114e+01 +1.412e+01 +1.995e+01
0305 +7.096e+00 +8.402e+00 +9.443e+00 +1.209e+01 +1.516e+01 +4.277e+01
0310 +7.221e+00 +8.622e+00 +9.813e+00 +1.303e+01 +1.675e+01 +4.277e+01
0315 +7.401e+00 +8.850e+00 +1.024e+01 +1.381e+01 +1.922e+01 +4.277e+01
0320 +7.582e+00 +9.096e+00 +1.073e+01 +1.490e+01 +4.277e+01 +4.277e+01
0325 +7.801e+00 +9.360e+00 +1.140e+01 +1.624e+01 +4.277e+01 +4.277e+01
0330 +8.072e+00 +9.685e+00 +1.226e+01 +1.824e+01 +4.277e+01 +4.277e+01
0335 +8.440e+00 +1.001e+01 +1.372e+01 +2.222e+01 +4.277e+01 +4.277e+01
0340 +8.986e+00 +1.039e+01 +1.555e+01 +4.277e+01 +4.277e+01 +4.277e+01
0345 +9.590e+00 +1.081e+01 +1.724e+01 +4.277e+01 +4.277e+01 +4.277e+01
0350 +9.849e+00 +1.131e+01 +1.983e+01 +4.277e+01 +4.277e+01 +4.277e+01
0355 +1.021e+01 +1.192e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0360 +1.056e+01 +1.266e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0365 +1.094e+01 +1.381e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0370 +1.136e+01 +1.551e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0375 +1.183e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0380 +1.234e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0385 +1.300e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0390 +1.388e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0395 +1.483e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0400 +1.623e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0405 +1.849e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0410 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0415 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0420 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0425 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0430 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
