Ka           t0         t1         t2         t3         t4         t5
0010 22 22 25 26 28 28
0020 24 26 25 27 29 30
0030 25 26 28 31 32 33
0040 28 29 31 32 34 35
0050 28 30 32 35 36 37
0060 31 32 34 36 37 39
0070 32 34 36 38 40 42
0080 34 35 38 39 42 42
0090 36 37 39 41 42 44
0100 36 38 40 43 45 47
0110 37 40 42 43 46 47
0120 38 41 43 45 47 49
0130 41 41 45 46 48 50
0140 40 44 46 49 50 52
0150 43 45 47 50 52 54
0160 45 46 50 50 53 55
0170 46 47 50 52 55 57
0180 46 49 51 54 56 58
0190 49 50 53 55 56 59
0200 48 52 53 57 59 62
0205 48 52 55 58 59 61
0210 50 52 55 58 61 62
0215 51 54 56 58 61 64
0220 52 54 56 59 61 64
0225 51 55 58 60 63 64
0230 54 56 58 61 64 66
0235 53 56 59 61 64 66
0240 53 58 60 63 64 67
0242 54 57 60 63 64 67
0244 55 57 61 63 64 00
0246 55 58 61 64 66 00
0248 55 59 61 64 66 00
0250 55 58 61 64 00 00
0252 55 60 61 64 00 00
0254 55 60 61 64 00 00
0256 56 60 61 00 00 00
0258 56 60 63 00 00 00
0260 58 60 63 00 00 00
0262 58 60 63 00 00 00
0264 58 60 00 00 00 00
0266 58 60 00 00 00 00
0268 58 60 00 00 00 00
0270 58 60 00 00 00 00
0272 58 00 00 00 00 00
0274 58 00 00 00 00 00
0276 58 00 00 00 00 00
0278 00 00 00 00 00 00
0280 00 00 00 00 00 00
