Ka           t0         t1         t2         t3         t4         t5
0010 19 21 22 25 25 27
0020 21 25 26 28 29 30
0030 25 27 28 30 32 34
0040 26 29 30 32 34 36
0050 27 31 32 35 37 37
0060 30 32 34 36 37 39
0070 32 34 35 37 40 41
0080 32 35 38 39 41 42
0090 34 36 40 42 43 45
0100 35 39 40 43 45 47
0110 36 39 42 44 46 48
0120 38 41 43 46 48 49
0130 40 42 45 46 50 52
0140 41 43 46 48 51 53
0150 41 45 47 50 52 54
0160 43 46 49 51 54 55
0170 44 47 50 53 55 57
0180 46 49 52 54 56 58
0190 47 50 52 56 58 60
0200 47 52 54 56 59 61
0210 48 52 55 58 60 63
0220 50 54 57 60 61 64
0230 51 54 58 61 63 65
0240 52 57 60 61 64 67
0250 53 57 60 64 66 69
0260 55 59 62 64 67 69
0270 55 59 63 66 69 71
0280 57 61 64 67 70 72
0290 58 62 65 68 71 73
0300 60 64 66 69 72 75
0310 61 64 68 71 73 77
0320 62 66 69 72 75 78
0330 63 67 70 73 76 79
0340 64 68 71 75 78 80
0350 65 70 73 77 79 82
0360 66 71 74 78 79 82
0370 68 72 75 78 82 85
0375 68 73 77 78 82 85
0380 69 73 77 79 82 00
0385 69 73 77 80 82 00
0390 70 74 78 81 00 00
0395 71 75 78 81 00 00
0400 71 76 78 00 00 00
0405 72 76 78 00 00 00
0410 72 77 00 00 00 00
0415 74 76 00 00 00 00
0420 74 00 00 00 00 00
0425 00 00 00 00 00 00
0430 00 00 00 00 00 00
0435 00 00 00 00 00 00
0440 00 00 00 00 00 00
