Ka           t0         t1         t2         t3         t4         t5
0010 +2.268e+01 +1.619e+01 +1.355e+01 +1.186e+01 +1.083e+01 +1.008e+01
0020 +2.338e+01 +1.688e+01 +1.410e+01 +1.242e+01 +1.142e+01 +1.061e+01
0030 +2.388e+01 +1.748e+01 +1.474e+01 +1.314e+01 +1.206e+01 +1.127e+01
0040 +2.449e+01 +1.795e+01 +1.528e+01 +1.371e+01 +1.262e+01 +1.184e+01
0050 +2.499e+01 +1.845e+01 +1.581e+01 +1.416e+01 +1.309e+01 +1.230e+01
0060 +2.535e+01 +1.891e+01 +1.618e+01 +1.460e+01 +1.353e+01 +1.272e+01
0070 +2.561e+01 +1.928e+01 +1.662e+01 +1.502e+01 +1.395e+01 +1.318e+01
0080 +2.620e+01 +1.965e+01 +1.700e+01 +1.540e+01 +1.436e+01 +1.358e+01
0090 +2.655e+01 +2.006e+01 +1.738e+01 +1.584e+01 +1.473e+01 +1.399e+01
0100 +2.695e+01 +2.034e+01 +1.778e+01 +1.616e+01 +1.512e+01 +1.437e+01
0110 +2.718e+01 +2.069e+01 +1.812e+01 +1.654e+01 +1.548e+01 +1.473e+01
0120 +2.753e+01 +2.111e+01 +1.842e+01 +1.690e+01 +1.587e+01 +1.513e+01
0130 +2.792e+01 +2.149e+01 +1.883e+01 +1.724e+01 +1.624e+01 +1.551e+01
0140 +2.814e+01 +2.180e+01 +1.918e+01 +1.759e+01 +1.660e+01 +1.590e+01
0150 +2.854e+01 +2.205e+01 +1.946e+01 +1.798e+01 +1.697e+01 +1.628e+01
0160 +2.879e+01 +2.246e+01 +1.985e+01 +1.832e+01 +1.737e+01 +1.670e+01
0170 +2.914e+01 +2.277e+01 +2.013e+01 +1.871e+01 +1.778e+01 +1.715e+01
0180 +2.950e+01 +2.311e+01 +2.051e+01 +1.910e+01 +1.819e+01 +1.763e+01
0190 +2.977e+01 +2.343e+01 +2.090e+01 +1.950e+01 +1.869e+01 +1.818e+01
0200 +3.006e+01 +2.381e+01 +2.133e+01 +1.997e+01 +1.922e+01 +1.877e+01
0205 +3.032e+01 +2.395e+01 +2.151e+01 +2.023e+01 +1.948e+01 +1.914e+01
0210 +3.042e+01 +2.418e+01 +2.175e+01 +2.049e+01 +1.983e+01 +1.954e+01
0215 +3.064e+01 +2.442e+01 +2.199e+01 +2.075e+01 +2.014e+01 +2.003e+01
0220 +3.078e+01 +2.462e+01 +2.222e+01 +2.109e+01 +2.060e+01 +2.057e+01
0225 +3.103e+01 +2.484e+01 +2.254e+01 +2.146e+01 +2.114e+01 +2.138e+01
0230 +3.125e+01 +2.505e+01 +2.287e+01 +2.190e+01 +2.175e+01 +2.242e+01
0235 +3.135e+01 +2.523e+01 +2.318e+01 +2.246e+01 +2.265e+01 +2.389e+01
0240 +3.153e+01 +2.562e+01 +2.360e+01 +2.326e+01 +2.407e+01 +2.711e+01
0242 +3.173e+01 +2.569e+01 +2.383e+01 +2.367e+01 +2.488e+01 +2.987e+01
0244 +3.177e+01 +2.580e+01 +2.403e+01 +2.412e+01 +2.610e+01 +4.277e+01
0246 +3.196e+01 +2.599e+01 +2.424e+01 +2.465e+01 +2.739e+01 +4.277e+01
0248 +3.204e+01 +2.610e+01 +2.462e+01 +2.532e+01 +2.978e+01 +4.277e+01
0250 +3.206e+01 +2.631e+01 +2.497e+01 +2.624e+01 +4.277e+01 +4.277e+01
0252 +3.228e+01 +2.654e+01 +2.550e+01 +2.736e+01 +4.277e+01 +4.277e+01
0254 +3.234e+01 +2.675e+01 +2.607e+01 +2.929e+01 +4.277e+01 +4.277e+01
0256 +3.240e+01 +2.701e+01 +2.685e+01 +4.277e+01 +4.277e+01 +4.277e+01
0258 +3.254e+01 +2.732e+01 +2.799e+01 +4.277e+01 +4.277e+01 +4.277e+01
0260 +3.284e+01 +2.772e+01 +2.951e+01 +4.277e+01 +4.277e+01 +4.277e+01
0262 +3.298e+01 +2.824e+01 +3.204e+01 +4.277e+01 +4.277e+01 +4.277e+01
0264 +3.317e+01 +2.893e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0266 +3.343e+01 +2.994e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0268 +3.383e+01 +3.213e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0270 +3.424e+01 +3.523e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0272 +3.489e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0274 +3.603e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0276 +3.964e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0278 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0280 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
