Ka           t0         t1         t2         t3         t4         t5
0010 +1.940e+01 +1.326e+01 +1.078e+01 +9.274e+00 +8.318e+00 +7.651e+00
0020 +1.992e+01 +1.359e+01 +1.097e+01 +9.505e+00 +8.601e+00 +7.998e+00
0030 +2.009e+01 +1.370e+01 +1.128e+01 +9.860e+00 +8.972e+00 +8.261e+00
0040 +2.033e+01 +1.413e+01 +1.154e+01 +1.009e+01 +9.170e+00 +8.538e+00
0050 +2.065e+01 +1.435e+01 +1.173e+01 +1.039e+01 +9.443e+00 +8.731e+00
0060 +2.072e+01 +1.446e+01 +1.202e+01 +1.047e+01 +9.543e+00 +8.926e+00
0070 +2.089e+01 +1.473e+01 +1.213e+01 +1.067e+01 +9.821e+00 +9.191e+00
0080 +2.118e+01 +1.483e+01 +1.227e+01 +1.094e+01 +9.988e+00 +9.310e+00
0090 +2.125e+01 +1.500e+01 +1.252e+01 +1.104e+01 +1.010e+01 +9.444e+00
0100 +2.143e+01 +1.515e+01 +1.267e+01 +1.117e+01 +1.026e+01 +9.642e+00
0110 +2.145e+01 +1.534e+01 +1.271e+01 +1.135e+01 +1.044e+01 +9.849e+00
0120 +2.172e+01 +1.542e+01 +1.287e+01 +1.151e+01 +1.061e+01 +9.965e+00
0130 +2.198e+01 +1.555e+01 +1.304e+01 +1.169e+01 +1.075e+01 +1.006e+01
0140 +2.206e+01 +1.564e+01 +1.326e+01 +1.177e+01 +1.085e+01 +1.022e+01
0150 +2.201e+01 +1.584e+01 +1.332e+01 +1.188e+01 +1.098e+01 +1.045e+01
0160 +2.212e+01 +1.601e+01 +1.341e+01 +1.200e+01 +1.119e+01 +1.061e+01
0170 +2.228e+01 +1.609e+01 +1.349e+01 +1.216e+01 +1.135e+01 +1.070e+01
0180 +2.241e+01 +1.617e+01 +1.364e+01 +1.239e+01 +1.145e+01 +1.082e+01
0190 +2.260e+01 +1.624e+01 +1.381e+01 +1.249e+01 +1.155e+01 +1.098e+01
0200 +2.263e+01 +1.633e+01 +1.398e+01 +1.255e+01 +1.166e+01 +1.115e+01
0210 +2.275e+01 +1.650e+01 +1.406e+01 +1.265e+01 +1.180e+01 +1.136e+01
0220 +2.281e+01 +1.665e+01 +1.415e+01 +1.277e+01 +1.201e+01 +1.152e+01
0230 +2.292e+01 +1.675e+01 +1.423e+01 +1.292e+01 +1.221e+01 +1.163e+01
0240 +2.301e+01 +1.681e+01 +1.433e+01 +1.309e+01 +1.229e+01 +1.177e+01
0250 +2.312e+01 +1.691e+01 +1.448e+01 +1.326e+01 +1.241e+01 +1.192e+01
0260 +2.329e+01 +1.697e+01 +1.459e+01 +1.334e+01 +1.249e+01 +1.207e+01
0270 +2.339e+01 +1.707e+01 +1.481e+01 +1.344e+01 +1.265e+01 +1.226e+01
0280 +2.349e+01 +1.715e+01 +1.487e+01 +1.356e+01 +1.279e+01 +1.252e+01
0290 +2.346e+01 +1.731e+01 +1.497e+01 +1.364e+01 +1.299e+01 +1.272e+01
0300 +2.357e+01 +1.753e+01 +1.505e+01 +1.379e+01 +1.323e+01 +1.288e+01
0310 +2.362e+01 +1.761e+01 +1.512e+01 +1.390e+01 +1.339e+01 +1.304e+01
0320 +2.371e+01 +1.770e+01 +1.524e+01 +1.414e+01 +1.353e+01 +1.326e+01
0330 +2.386e+01 +1.775e+01 +1.533e+01 +1.431e+01 +1.366e+01 +1.349e+01
0340 +2.394e+01 +1.783e+01 +1.549e+01 +1.443e+01 +1.383e+01 +1.383e+01
0350 +2.407e+01 +1.793e+01 +1.572e+01 +1.456e+01 +1.404e+01 +1.426e+01
0360 +2.427e+01 +1.796e+01 +1.585e+01 +1.467e+01 +1.429e+01 +1.492e+01
0370 +2.431e+01 +1.808e+01 +1.595e+01 +1.484e+01 +1.465e+01 +1.583e+01
0380 +2.437e+01 +1.821e+01 +1.604e+01 +1.499e+01 +1.519e+01 +1.682e+01
0390 +2.443e+01 +1.838e+01 +1.614e+01 +1.522e+01 +1.613e+01 +1.850e+01
0400 +2.446e+01 +1.858e+01 +1.624e+01 +1.561e+01 +1.716e+01 +2.241e+01
0410 +2.452e+01 +1.864e+01 +1.636e+01 +1.627e+01 +1.885e+01 +4.277e+01
0420 +2.463e+01 +1.874e+01 +1.654e+01 +1.742e+01 +2.300e+01 +4.277e+01
0430 +2.477e+01 +1.880e+01 +1.681e+01 +1.916e+01 +4.277e+01 +4.277e+01
0440 +2.482e+01 +1.890e+01 +1.731e+01 +2.267e+01 +4.277e+01 +4.277e+01
0450 +2.498e+01 +1.902e+01 +1.868e+01 +4.277e+01 +4.277e+01 +4.277e+01
0460 +2.525e+01 +1.913e+01 +2.240e+01 +4.277e+01 +4.277e+01 +4.277e+01
0470 +2.530e+01 +1.933e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0480 +2.537e+01 +1.979e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0490 +2.542e+01 +2.150e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0500 +2.551e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0510 +2.565e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0520 +2.601e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0530 +2.752e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0540 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0550 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
