Ka           t0         t1         t2         t3         t4         t5
0010 11 12 14 15 16 17
0020 11 13 14 15 16 17
0030 12 13 14 16 17 18
0040 12 14 15 16 17 18
0050 13 14 15 17 18 19
0060 13 14 16 17 18 19
0070 13 15 16 17 18 20
0080 13 15 16 17 19 20
0090 14 15 16 18 19 20
0100 14 15 17 18 19 20
0110 14 16 17 18 19 21
0120 14 16 17 18 20 21
0130 15 16 17 19 20 21
0140 15 16 18 19 20 21
0150 15 16 18 19 20 21
0160 15 17 18 19 20 22
0170 15 17 18 19 21 22
0180 15 17 18 19 21 22
0190 16 17 18 20 21 22
0200 16 17 19 20 21 22
0210 16 17 19 20 21 22
0220 16 17 19 20 21 23
0230 16 18 19 20 22 23
0240 16 18 19 20 22 23
0250 16 18 19 21 22 23
0260 16 18 19 21 22 23
0270 17 18 20 21 22 23
0280 17 18 20 21 22 23
0290 17 18 20 21 22 24
0300 17 18 20 21 22 24
0310 17 19 20 21 23 24
0320 17 19 20 21 23 24
0330 17 19 20 22 23 24
0340 17 19 20 22 23 24
0350 17 19 20 22 23 24
0360 18 19 21 22 23 24
0370 18 19 21 22 23 25
0380 18 19 21 22 23 25
0390 18 19 21 22 24 25
0400 18 20 21 22 24 25
0410 18 20 21 22 24 00
0420 18 20 21 23 24 00
0430 18 20 21 23 00 00
0440 18 20 21 23 00 00
0450 18 20 21 00 00 00
0460 19 20 22 00 00 00
0470 19 20 00 00 00 00
0480 19 20 00 00 00 00
0490 19 20 00 00 00 00
0500 19 00 00 00 00 00
0510 19 00 00 00 00 00
0520 19 00 00 00 00 00
0530 19 00 00 00 00 00
0540 00 00 00 00 00 00
0550 00 00 00 00 00 00
