Ka           t0         t1         t2         t3         t4         t5
0010 10 11 13 14 15 16
0030 11 13 14 15 16 18
0050 12 13 15 16 17 18
0070 12 14 15 17 18 19
0090 13 14 16 17 18 20
0110 13 15 16 18 19 20
0130 14 15 17 18 19 20
0150 14 16 17 18 20 21
0170 14 16 17 19 20 21
0190 15 16 18 20 20 21
0210 15 16 18 19 21 22
0220 15 17 18 19 21 22
0230 15 17 18 19 21 22
0240 15 17 18 20 21 22
0250 15 17 18 20 21 22
0260 16 17 19 20 21 22
0270 16 17 19 20 21 23
0280 16 17 19 20 21 23
0285 16 17 19 20 22 23
0290 16 17 19 20 22 23
0295 16 18 19 20 22 23
0300 16 18 19 20 22 23
0305 16 18 19 20 22 00
0310 16 18 19 21 22 00
0315 16 18 19 21 22 00
0320 16 18 19 21 00 00
0325 16 18 19 21 00 00
0330 16 18 19 21 00 00
0335 16 18 19 21 00 00
0340 16 18 20 00 00 00
0345 17 18 20 00 00 00
0350 17 18 20 00 00 00
0355 17 18 00 00 00 00
0360 17 18 00 00 00 00
0365 17 18 00 00 00 00
0370 17 18 00 00 00 00
0375 17 00 00 00 00 00
0380 17 00 00 00 00 00
0385 17 00 00 00 00 00
0390 17 00 00 00 00 00
0395 17 00 00 00 00 00
0400 17 00 00 00 00 00
0405 17 00 00 00 00 00
0410 00 00 00 00 00 00
0415 00 00 00 00 00 00
0420 00 00 00 00 00 00
0425 00 00 00 00 00 00
0430 00 00 00 00 00 00
